FAC_US_CANADA_BORDER_FLG,GLOBALID,OBJECTID,SOURCE_ID,EPA_SYSTEM,REGISTRY_ID,STATUTE,RCR_NAME,RCR_STREET,RCR_CITY,RCR_STATE,RCR_STATE_DISTRICT,RCR_ZIP,RCR_COUNTY,RCR_EPA_REGION,RCR_STATUS,RCR_INDIAN_CNTRY_FLG,RCR_TRIBAL_LAND_CODE,FAC_FIPS_CODE,FAC_LAT,FAC_LONG,FAC_US_MEX_BORDER_FLG,RCR_IMP_WATER_FLG,RCRA_UNIVERSE,RCRA_NAICS,FAC_SIC_CODES,FAC_PERCENT_MINORITY,FAC_POPULATION_DENSITY,FAC_FEDERAL_AGENCY_CODE,CHESAPEAKE_BAY_FLAG,AIR_IDS,CWA_IDS,RCRA_IDS,TRI_IDS,SDWA_IDS,RCRA_CASE_IDS,RCRA_CURR_SNC,RCRA_CURR_COMPL_STATUS,RCRA_QTRS_IN_SNC,RCRA_QTRS_IN_NC,RCRA_CURR_VIOLATION_TYPES,RCRA_INSP_CNT,RCRA_LAST_INSPECTION_DATE,RCRA_DAYS_LAST_INSPECTION,RCRA_IEA_CNT,RCRA_LAST_IEA_DATE,RCRA_FEA_CNT,RCRA_LAST_FEA_DATE,RCRA_PENALTIES,RCRA_LAST_PENALTY_DATE,RCRA_LAST_INSP_DATE_EPA,RCRA_LAST_INSP_DATE_STATE,RCRA_LAST_FEA_DATE_EPA,RCRA_LAST_FEA_DATE_STATE,RCRA_LAST_IEA_DATE_EPA,RCRA_LAST_IEA_DATE_STATE,FAC_TRI_REPORTER,FAC_TRI_ON_SITE_RELEASES,FAC_DERIVED_HUC,FAC_DERIVED_WBD,FAC_DERIVED_WBD_NAME,FAC_MAP_FLG,FAC_MAP_ICON,LAST_VIOLATION_DATE,CURRENT_VIO_CNT,FAC_FEDERAL_AGENCY_NAME,FAC_TRI_OFF_SITE_TRANSFERS,RCR_FIPS_CODE,RCR_LAND_TYPE_CODE,RCR_OLDEST_OPEN_VIO_DATE,FAC_TRI_LAND_RELEASES,RCRA_MAP_ICON,EJSCREEN_FLAG_US,PCTILE_PCTPRE1960_US,PCTILE_DPM_US,PCTILE_CANCER_US,PCTILE_RESP_US,PCTILE_TRAFFIC_SCORE_US,PCTILE_PROXIMITY_NPDES_US,PCTILE_PROXIMITY_NPL_US,PCTILE_PROXIMITY_RMP_US,PCTILE_PROXIMITY_TSDF_US,PCTILE_O3_US,PCTILE_PM_US,MAX_PCTILE_US,DFR_URL
,,,,,,,,,,,,,,,,,,36103,40.72624,-73.23629,,,Other,,,44.587,4271.85,,,,,NYD110593597,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,02030202,020302020402,Orowoc Creek-Great Cove,Y,RCRA-IA-MN-N.png,,,,,36103,Not Indian/Unknown,,,RCRA-IA-MN-N.png,Y,85,77,45,29,86,12,87,66,78,90,47,90,http://echo.epa.gov/detailed-facility-report?fid=110009469645
,,,,,,,,,,,,,,,,,,36103,40.94502,-72.94332,,,VSQG,45391,,10.903,1735.91,,,,,NYR000202465,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,02030202,020302010401,Rocky Point-Wading River,Y,RCRA-IC-MN-N.png,,,,,36103,Private,,,RCRA-IC-MN-N.png,N,17,17,8,5,20,8,27,3,8,37,10,37,http://echo.epa.gov/detailed-facility-report?fid=110056330153
,,,,,,,,,,,,,,,,,,09001,41.192589999999996,-73.14796,,,SQG,,,63.355000000000004,5318.53,,,,,CTD983878448,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,01100006,011000060303,Rooster River-Frontal Long Island Sound,Y,RCRA-IC-MN-N.png,,,,,09001,Other Land Type,,,RCRA-IC-MN-N.png,Y,89,78,44,66,83,75,89,81,88,90,67,90,http://echo.epa.gov/detailed-facility-report?fid=110002490983
,,,,,,,,,,,,,,,,,,36103,40.777609999999996,-73.28473,,,SQG,33995,,64.199,3975.69,,,,,NYR000199018,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,02030202,020302020403,Sampawams Creek,Y,RCRA-IC-MN-N.png,,,,,36103,Private,,,RCRA-IC-MN-N.png,Y,0,82,84,29,90,15,91,66,90,92,56,92,http://echo.epa.gov/detailed-facility-report?fid=110055415705
,,,,,,,,,,,,,,,,,,36059,40.775,-73.55719,,,VSQG,331492,,45.544000000000004,3879.86,,,,,NYD049204787,,,,No,No Violation Identified,0,0,NA,0,1.0533E+12,8132,0,6.30893E+11,0,,0,,8.75059E+11,1.0533E+12,,,,6.30893E+11,,,02030202,020302020203,Freeport Creek,Y,RCRA-IC-MN-G.png,,,,,36059,Private,,,RCRA-IC-MN-G.png,N,62,71,34,53,73,34,76,68,72,76,46,76,http://echo.epa.gov/detailed-facility-report?fid=110015594230
,,,,,,,,,,,,,,,,,,36103,40.75683,-73.34966,,,Other,332322,,40.735,3600.11,,,,,NYR000002782,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,02030202,020302020404,Carlls River,Y,RCRA-IA-MN-N.png,,,,,36103,Private,,,RCRA-IA-MN-N.png,N,45,50,24,44,31,23,60,23,51,64,27,64,http://echo.epa.gov/detailed-facility-report?fid=110000813077
,,,,,,,,,,,,,,,,,,36119,41.20915,-73.79692,,,Other,221122,,14.249,513.47,,,,,NYP004286324,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,02030101,020301010307,Bailey Brook-Croton River,Y,RCRA-IA-MN-N.png,,,,,36119,Private,,,RCRA-IA-MN-N.png,N,35,29,10,33,22,15,39,12,28,35,22,39,http://echo.epa.gov/detailed-facility-report?fid=110055469871
,,,,,,,,,,,,,,,,,,36081,40.73317,-73.79764,,,Other,221122,,73.244,22974.88,,,,,NYP004357950 NYP004359063 NYP004567343,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,02030201,020301020104,Flushing Creek-Flushing Bay,Y,RCRA-IA-MN-N.png,,,,,36081,Private,,,RCRA-IA-MN-N.png,Y,88,88,81,86,85,90,83,26,84,87,70,90,http://echo.epa.gov/detailed-facility-report?fid=110060163978
,,,,,,,,,,,,,,,,,,36059,40.743100000000005,-73.63359,,,LQG,45121,,43.797000000000004,6055.87,,,,,NYR000250910,,,,No,No Violation Identified,0,0,NA,1,1.67694E+12,914,0,,0,,0,,,1.67694E+12,,,,,,,02030202,020302020204,Mill River,Y,RCRA-IC-MN-3.png,,,,,36059,Private,,,RCRA-IC-MN-3.png,N,74,69,30,49,64,32,73,44,68,72,44,74,http://echo.epa.gov/detailed-facility-report?fid=110071139568
,,,,,,,,,,,,,,,,,,36103,40.85762,-73.11689,,,Other,44711,,16.777,3583.2000000000003,,,,,NYD982271223,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,02030202,020302020301,Town of Selden,Y,RCRA-IA-MN-N.png,,,,,36103,Not Indian/Unknown,,,RCRA-IA-MN-N.png,N,28,55,35,23,61,11,74,44,51,76,35,76,http://echo.epa.gov/detailed-facility-report?fid=110008025760
,,,,,,,,,,,,,,,,,,36103,40.868773999999995,-73.132115,,,VSQG,,,16.709,3046.71,,,,,NYR000001214,,,,No,No Violation Identified,0,0,NA,0,1.32684E+12,4966,0,1.33911E+12,0,,0,,,1.32684E+12,,,,1.33911E+12,,,02030202,020302020401,Connetquot River,Y,RCRA-IC-MN-G.png,,,,,36103,Not Indian/Unknown,,,RCRA-IC-MN-G.png,N,27,39,20,14,47,7,58,27,31,59,23,59,http://echo.epa.gov/detailed-facility-report?fid=110006101217
,,,,,,,,,,,,,,,,,,36081,40.747945,-73.77788,,,LQG,331410,,70.309,19287.33,,,,,NYR000237032,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,02030201,020301020104,Flushing Creek-Flushing Bay,Y,RCRA-IC-MN-N.png,,,,,36081,Private,,,RCRA-IC-MN-N.png,Y,90,88,81,86,89,90,86,26,78,88,70,90,http://echo.epa.gov/detailed-facility-report?fid=110070261119
,,,,,,,,,,,,,,,,,,36103,40.826105999999996,-73.20736,,,Other,,,41.022,2912.92,,,,,NYR000108811,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,02030201,020302010302,Nissequogue River,Y,RCRA-IA-MN-N.png,,,,,36103,Private,,,RCRA-IA-MN-N.png,N,26,28,8,6,33,4,39,28,33,37,13,39,http://echo.epa.gov/detailed-facility-report?fid=110013301710
,,,,,,,,,,,,,,,,,,36103,40.865570999999996,-73.051458,,,SQG,455110,,22.35,3644.2200000000003,,,,,NYR000237677,,,,No,No Violation Identified,0,0,NA,1,1.6867E+12,801,0,,0,,0,,,1.6867E+12,,,,,,,02030202,020302020301,Town of Selden,Y,RCRA-IC-MN-3.png,,,,,36103,Private,,,RCRA-IC-MN-3.png,N,58,57,31,21,49,27,68,26,52,72,29,72,http://echo.epa.gov/detailed-facility-report?fid=110070434767
,,,,,,,,,,,,,,,,,,36059,40.798939999999995,-73.50278,,,VSQG,44711,,26.289,3364.9700000000003,,,,,NYR000239301,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,02030202,020302020207,Bellmore Creek-East Bay,Y,RCRA-IC-MN-N.png,,,,,36059,Private,,,RCRA-IC-MN-N.png,N,69,60,25,45,63,26,63,48,56,67,35,69,http://echo.epa.gov/detailed-facility-report?fid=110070434662
,,,,,,,,,,,,,,,,,,36103,40.88155,-73.22056,,,Other,,7216,9.685,2065.4,,,NY0000001473400888,,NYD987016102,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,02030201,020302010302,Nissequogue River,Y,RCRA-IA-MN-N.png,,,,,36103,Not Indian/Unknown,,,RCRA-IA-MN-N.png,N,23,19,7,5,22,4,32,12,13,34,12,34,http://echo.epa.gov/detailed-facility-report?fid=110006100272
,,,,,,,,,,,,,,,,,,36103,40.73591,-73.21554,,,Other,32311,,48.678000000000004,4252.63,,,,,NYD002043180,,,02-1989-0206,No,No Violation Identified,0,0,NA,0,6.97939E+11,12245,0,8.44646E+11,0,7.76563E+11,0,7.76563E+11,,6.97939E+11,,7.76563E+11,,8.44646E+11,,,02030202,020302020402,Orowoc Creek-Great Cove,Y,RCRA-IA-MN-G.png,,,,,36103,Not Indian/Unknown,,,RCRA-IA-MN-G.png,N,60,54,26,17,59,5,62,44,50,64,23,64,http://echo.epa.gov/detailed-facility-report?fid=110004337003
,,,,,,,,,,,,,,,,,,36119,41.0206,-73.6699,,,Other,,,41.026,3014.8,,,,,NYP004225959,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,01100006,011000060403,Byram River,Y,RCRA-IA-MN-N.png,,,,,36119,Private,,,RCRA-IA-MN-N.png,N,36,36,53,31,29,7,21,15,33,39,24,53,http://echo.epa.gov/detailed-facility-report?fid=110043650377
,,,,,,,,,,,,,,,,,,36103,40.71283,-73.41598,,,Other,,,34.093,4913.53,,,,,NYD064726441,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,02030202,020302020202,Seaford Creek-South Oyster Bay,Y,RCRA-IA-MN-N.png,,,,,36059,Not Indian/Unknown,,,RCRA-IA-MN-N.png,Y,72,92,49,74,95,94,97,57,92,95,60,97,http://echo.epa.gov/detailed-facility-report?fid=110004363803
,,,,,,,,,,,,,,,,,,36081,40.757355,-73.80156,,,Other,221122,,65.773,18051.57,,,,,NYP005112404,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,02030201,020301020104,Flushing Creek-Flushing Bay,Y,RCRA-IA-MN-N.png,,,,,36081,Private,,,RCRA-IA-MN-N.png,Y,90,88,80,86,83,90,84,30,85,87,71,90,http://echo.epa.gov/detailed-facility-report?fid=110070433444
,,,,,,,,,,,,,,,,,,36059,40.727329999999995,-73.63097,,,Other,,,49.995000000000005,7164.78,,,,,NYD986893550,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,02030202,020302020204,Mill River,Y,RCRA-IA-MN-N.png,,,,,36059,Not Indian/Unknown,,,RCRA-IA-MN-N.png,N,47,44,12,35,41,17,48,22,40,46,22,48,http://echo.epa.gov/detailed-facility-report?fid=110008038168
,,,,,,,,,,,,,,,,,,36081,40.674245,-73.73484,,,Other,,,84.557,12167.75,,,,,NYP004368809,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,02030202,020302020101,Hook Creek-Head of Bay,Y,RCRA-IA-MN-N.png,,,,,36081,Private,,,RCRA-IA-MN-N.png,Y,89,88,43,86,89,0,87,28,78,87,63,89,http://echo.epa.gov/detailed-facility-report?fid=110060189512
,,,,,,,,,,,,,,,,,,36081,40.661564999999996,-73.751795,,,VSQG,22131,,86.50200000000001,10715.07,,,,,NYR000074617,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,02030202,020302020101,Hook Creek-Head of Bay,Y,RCRA-IC-MN-N.png,,,,,36081,Municipal,,,RCRA-IC-MN-N.png,Y,90,91,84,88,91,0,89,26,88,89,67,91,http://echo.epa.gov/detailed-facility-report?fid=110004555099
,,,,,,,,,,,,,,,,,,36081,40.73356,-73.78171,,,Other,221122,,76.967,20669.010000000002,,,,,NYP004354742,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,02030201,020301020104,Flushing Creek-Flushing Bay,Y,RCRA-IA-MN-N.png,,,,,36081,Private,,,RCRA-IA-MN-N.png,Y,86,83,76,83,77,85,79,20,74,83,64,86,http://echo.epa.gov/detailed-facility-report?fid=110060188746
,,,,,,,,,,,,,,,,,,36059,40.82414,-73.54819,,,Other,,,26.879,1398.3700000000001,,,,,NYD982184335,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,02030201,020302010201,Mill Neck Creek-Oyster Bay Harbor,Y,RCRA-IA-MN-N.png,,,,,36059,Not Indian/Unknown,,,RCRA-IA-MN-N.png,N,41,47,20,41,36,46,54,37,39,60,33,60,http://echo.epa.gov/detailed-facility-report?fid=110004415534
,,,,,,,,,,,,,,,,,,36059,40.808229999999995,-73.48256,,,Other,334419,,21.861,2832.76,,,,,NYD047654264,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,02030202,020302020201,Massapequa Creek,Y,RCRA-IA-MN-N.png,,,,,36059,Not Indian/Unknown,,,RCRA-IA-MN-N.png,N,20,38,11,34,41,14,39,25,39,44,19,44,http://echo.epa.gov/detailed-facility-report?fid=110004356811
,,,,,,,,,,,,,,,,,,36103,40.82837,-73.41089,,,Other,,,34.181000000000004,2918.9700000000003,,,,,NYD986958742,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,02030202,020302020201,Massapequa Creek,Y,RCRA-IA-MN-N.png,,,,,36103,Not Indian/Unknown,,,RCRA-IA-MN-N.png,N,58,52,26,45,51,29,60,25,49,67,33,67,http://echo.epa.gov/detailed-facility-report?fid=110004470046
,,,,,,,,,,,,,,,,,,36103,40.71215,-73.41616,,,VSQG,,,33.828,4963.9400000000005,,,,,NYN008026783,,,,No,No Violation Identified,0,0,NA,0,1.40132E+12,4104,0,1.40322E+12,0,,0,,,1.40132E+12,,,,1.40322E+12,,,02030202,020302020202,Seaford Creek-South Oyster Bay,Y,RCRA-IC-MN-G.png,,,,,36059,Private,,,RCRA-IC-MN-G.png,Y,72,92,49,74,95,94,97,57,92,95,60,97,http://echo.epa.gov/detailed-facility-report?fid=110019454678
,,,,,,,,,,,,,,,,,,09001,41.10619,-73.51741,,,Other,,,21.459,2181.75,,,,,CTD000457978,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,01100006,011000060404,Fivemile River,Y,RCRA-IA-MN-N.png,,,,,09001,Not Indian/Unknown,,,RCRA-IA-MN-N.png,N,39,40,15,37,26,43,45,25,42,52,30,52,http://echo.epa.gov/detailed-facility-report?fid=110003006103
,,,,,,,,,,,,,,,,,,36119,41.04873,-73.79938,,,VSQG,,,51.49,3770.2000000000003,,,,,NY0000134577,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,02030102,020301020102,Upper Bronx River,Y,RCRA-IC-MN-N.png,,,,,36119,Not Indian/Unknown,,,RCRA-IC-MN-N.png,Y,72,82,76,60,70,36,57,73,77,83,69,83,http://echo.epa.gov/detailed-facility-report?fid=110064186508
,,,,,,,,,,,,,,,,,,36103,40.77207,-73.42826,,,Other,334119 332999,,17.963,1848.0900000000001,,,,,NYD077508810,,,,No,No Violation Identified,0,0,NA,0,7.98422E+11,11082,0,5.35334E+11,0,,0,,,7.98422E+11,,,,5.35334E+11,,,02030202,020302020201,Massapequa Creek,Y,RCRA-IA-MN-G.png,,,,,36103,Not Indian/Unknown,,,RCRA-IA-MN-G.png,N,21,36,11,34,21,22,45,20,42,43,17,45,http://echo.epa.gov/detailed-facility-report?fid=110006444151
,,,,,,,,,,,,,,,,,,36059,40.720749999999995,-73.427613,,,Other,,,33.05,4243.65,,,,,NYN008012809,,,,No,No Violation Identified,0,0,NA,0,1.04674E+12,8208,0,,0,,0,,1.04674E+12,,,,,,,,02030202,020302020201,Massapequa Creek,Y,RCRA-IA-MN-G.png,,,,,36059,Private,,,RCRA-IA-MN-G.png,N,55,72,35,54,72,74,79,40,73,76,37,79,http://echo.epa.gov/detailed-facility-report?fid=110014415980
,,,,,,,,,,,,,,,,,,36081,40.769839999999995,-73.78887,,,VSQG,,7216,64.556,16818.62,,,NY0000002630300278,,NYD982282303,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,02030201,020301020104,Flushing Creek-Flushing Bay,Y,RCRA-IC-MN-N.png,,,,,36081,Not Indian/Unknown,,,RCRA-IC-MN-N.png,Y,87,85,78,84,82,88,84,30,81,86,69,88,http://echo.epa.gov/detailed-facility-report?fid=110004420323
,,,,,,,,,,,,,,,,,,36081,40.75523,-73.80656,,,Other,221122,,66.809,20334.4,,,,,NYP004343422,,,,No,No Violation Identified,0,0,NA,0,,,0,,0,,0,,,,,,,,,,02030201,020301020104,Flushing Creek-Flushing Bay,Y,RCRA-IA-MN-N.png,,,,,36081,Private,,,RCRA-IA-MN-N.png,Y,90,94,87,90,82,95,90,36,92,94,79,95,http://echo.epa.gov/detailed-facility-report?fid=110056496992
